signal_date,entry,exit,n_sel,n_fill,capital_ret,net_yuan
2022-07-22,2022-07-25,2022-08-22,461,460,0.021156023857993977,16831.88602830365
2022-08-19,2022-08-22,2022-09-20,463,463,-0.06975814970347283,-56674.251092691324
2022-09-19,2022-09-20,2022-10-25,467,466,-0.012047192826492026,-9104.845337729435
2022-10-24,2022-10-25,2022-11-22,474,472,0.06253008198132615,46688.71368245431
2022-11-21,2022-11-22,2022-12-20,480,480,-0.05125851706911755,-40665.880770992255
2022-12-19,2022-12-20,2023-01-18,484,483,0.04993915516498326,37588.34691538045
2023-01-17,2023-01-18,2023-02-22,491,489,0.04549027967222252,35949.65892983193
2023-02-21,2023-02-22,2023-03-22,616,616,-0.015629927462455173,-12913.772445194307
2023-03-21,2023-03-22,2023-04-20,619,618,-0.0018728444916892295,-1523.197739171097
2023-04-19,2023-04-20,2023-05-23,622,615,-0.03405980179910362,-27649.199121768237
2023-05-22,2023-05-23,2023-06-20,619,617,-0.01889466746867874,-14815.964636805933
2023-06-19,2023-06-20,2023-07-20,619,618,-0.008112440923406239,-6241.052890505525
2023-07-19,2023-07-20,2023-08-17,626,626,-0.04918502111448797,-37531.992522229324
2023-08-16,2023-08-17,2023-09-14,630,629,-0.0006765010770759528,-490.8324489417719
2023-09-13,2023-09-14,2023-10-20,635,633,-0.05161618245179367,-37424.56443972257
2023-10-19,2023-10-20,2023-11-17,646,645,0.05959876697353095,40981.9183245193
2023-11-16,2023-11-17,2023-12-15,652,650,-0.02600332450094134,-18946.340084082214
2023-12-14,2023-12-15,2024-01-15,656,655,-0.046659545766083776,-33112.6877677741
2024-01-12,2024-01-15,2024-02-20,658,656,-0.17523743555168037,-118557.44702681375
2024-02-19,2024-02-20,2024-03-19,660,659,0.19721993392181525,110047.88467978686
