signal_date,entry,exit,n_sel,n_fill,lo_ret,idx_ret,capital_ret,net_yuan,equity
2014-08-26,2014-08-27,2014-09-25,453,436,0.09892857772673946,0.05578387031530396,0.03622281664375887,37594.55736677721,1075464.0785724034
2014-09-24,2014-09-25,2014-10-30,451,426,0.0323118132202338,-0.0012472385486381743,0.026278300402211057,28261.368128512753,1103725.4467009162
2014-10-29,2014-10-30,2014-11-27,452,435,0.06094986899467725,0.11699097275502379,-0.046124262269037895,-50908.52197664394,1052816.9247242722
2014-11-26,2014-11-27,2014-12-25,451,429,-0.025939998789531238,0.1890552898579847,-0.1771106536402923,-186465.09370147833,866351.8310227939
2014-12-24,2014-12-25,2015-01-26,454,423,0.06494331521860386,0.10005899559991138,-0.026199299793129176,-22697.81134729262,843654.0196755013
2015-01-23,2015-01-26,2015-03-02,453,428,0.07852080403583295,0.006516541344982807,0.05932061717796545,50046.07713182212,893700.0968073234
2015-02-27,2015-03-02,2015-03-30,459,424,0.1781751023845679,0.1097753541744717,0.063114959546517,56405.84545671253,950105.9422640359
2015-03-27,2015-03-30,2015-04-28,452,417,0.15278933633678138,0.2031247655675641,-0.03155289045956694,-29978.588721240754,920127.3535427952
2015-04-27,2015-04-28,2015-05-27,455,415,0.1802593158968191,0.08414530731691094,0.08587180217625263,79012.99408038566,999140.3476231808
2015-05-26,2015-05-27,2015-06-25,450,403,0.009830577925026951,-0.05941715856653451,0.05151106422806233,51466.78261926607,1050607.130242447
2015-06-24,2015-06-25,2015-07-23,449,382,-0.1712824337569493,-0.1523182722410643,-0.03741005650106942,-39303.272102796356,1011303.8581396505
2015-07-22,2015-07-23,2015-08-20,432,389,-0.012956348394465134,-0.07466583953084094,0.044049896810174086,44547.8305947826,1055851.6887344331
2015-08-19,2015-08-20,2015-09-21,448,425,-0.24241639042116414,-0.16261303398815097,-0.0771266330383584,-81434.28573995165,974417.4029944815
2015-09-18,2015-09-21,2015-10-26,459,426,0.21725549127948973,0.12167194191025876,0.08653153499334836,84317.83360534476,1058735.2365998263
2015-10-23,2015-10-26,2015-11-23,463,446,0.0778693432543609,0.04419177248457684,0.027773656875764045,29404.949183604447,1088140.1857834307
2015-11-20,2015-11-23,2015-12-21,481,462,0.0047698857003624084,-0.003269359163213692,0.004498554154575517,4895.057553516468,1093035.2433369472
2015-12-18,2015-12-21,2016-01-19,492,478,-0.1968310092190435,-0.16730017809202313,-0.03139831477340613,-34319.46462871996,1058715.7787082272
2016-01-18,2016-01-19,2016-02-23,495,475,0.03802644857709869,-0.004947808599610526,0.034135253339506635,36139.53132073837,1094855.3100289656
2016-02-22,2016-02-23,2016-03-22,497,485,0.00969739901717892,0.036702810214295,-0.024461948157047095,-26782.293833396165,1068073.0161955694
2016-03-21,2016-03-22,2016-04-20,500,477,0.047689597140127216,0.003877324305841201,0.03518205802173291,37577.00682723988,1105650.0230228093
2016-04-19,2016-04-20,2016-05-19,493,480,-0.09957723265134777,-0.056656001282312074,-0.04000837539005647,-44235.26117112115,1061414.7618516881
2016-05-18,2016-05-19,2016-06-20,496,480,0.009867644425534117,0.017831352071991935,-0.00852203831351091,-9045.417267026147,1052369.344584662
2016-06-17,2016-06-20,2016-07-18,500,482,0.055274236528185305,0.049696459929821524,0.004028679134527875,4239.6584203450475,1056609.003005007
2016-07-15,2016-07-18,2016-08-15,508,498,-0.0012717985252271857,0.01032507470081434,-0.011955517039919712,-12632.306939958944,1043976.6960650481
2016-08-12,2016-08-15,2016-09-12,520,502,0.012427733996588586,-0.009565699098220914,0.016176615668087497,16888.00977868412,1060864.7058437322
2016-09-09,2016-09-12,2016-10-19,521,510,0.031176365995006172,0.015718839684950803,0.011153363318680531,11832.209496240132,1072696.9153399724
2016-10-18,2016-10-19,2016-11-16,526,516,0.028287104886486558,0.032837841904131304,-0.005609974298351281,-6017.802124978043,1066679.1132149943
2016-11-15,2016-11-16,2016-12-14,531,526,-0.04306212865179615,-0.009620006817327664,-0.03079752488823956,-32851.07653700409,1033828.0366779902
2016-12-13,2016-12-14,2017-01-12,537,524,0.010961335215765589,-0.01962693526229542,0.023335702987712148,24125.104004287045,1057953.1406822773
2017-01-11,2017-01-12,2017-02-16,542,529,-0.0024452965014211125,0.026747162202304997,-0.02652925865906817,-28066.71251833369,1029886.4281639436
2017-02-15,2017-02-16,2017-03-16,549,538,0.03003599924867406,0.014740650470654648,0.010981971104318427,11310.182994826115,1041196.6111587697
2017-03-15,2017-03-16,2017-04-17,557,546,-0.010498982188291817,0.0009993462489954474,-0.012027593300234004,-12523.089384599472,1028673.5217741702
