signal_date,entry,exit,n_sel,n_fill,lo_ret,idx_ret,capital_ret,net_yuan,equity
2011-06-30,2011-07-01,2011-07-29,378,371,0.0038706301222919404,-0.02329528327850805,0.020450702211739898,18359.50408563111,916103.9382641147
2011-07-28,2011-07-29,2011-08-26,389,380,-0.0253687699206514,-0.030741155711803247,0.0016990361808947863,1556.4937365709338,917660.4320006856
2011-08-25,2011-08-26,2011-09-26,395,382,-0.07770248221591503,-0.08449217479182392,0.001167299312905587,1071.1843917549122,918731.6163924405
2011-09-23,2011-09-26,2011-10-31,401,397,-0.009762182325184665,0.022409980153104803,-0.029449758705153095,-27056.424417552655,891675.1919748879
2011-10-28,2011-10-31,2011-11-28,404,391,-0.01071206839739336,-0.04665875401640951,0.02703650060699508,24107.776869071415,915782.9688439593
2011-11-25,2011-11-28,2011-12-26,409,393,-0.1207525031901232,-0.09028677366057225,-0.031123986389310604,-28502.81665786181,887280.1521860975
2011-12-23,2011-12-26,2012-02-01,411,398,-0.034733967763623474,0.04803990535268898,-0.07130947384334563,-63271.480804034276,824008.6713820632
2012-01-31,2012-02-01,2012-02-29,416,406,0.10586867281933321,0.08039524373227902,0.02103425399566343,17332.407688479405,841341.0790705426
2012-02-28,2012-02-29,2012-03-28,417,406,-0.028158165586875228,-0.04420413726627159,0.010392497706502777,8743.63523462729,850084.7143051699
2012-03-27,2012-03-28,2012-05-02,421,408,0.01807363449951649,0.04814336251112872,-0.026540654451190655,-22561.804656612687,827522.9096485572
2012-04-27,2012-05-02,2012-05-30,409,395,-0.02525804888169292,-0.0053745861004935724,-0.019294562168725556,-15966.692226258805,811556.2174222984
2012-05-29,2012-05-30,2012-06-28,424,391,-0.05827093164939057,-0.07357625728828543,0.0060057994784398355,4874.043907319545,816430.2613296179
2012-06-27,2012-06-28,2012-07-26,433,415,-0.0562476962145414,-0.03733388805951876,-0.019616163638859638,-16015.22960595868,800415.0317236593
2012-07-25,2012-07-26,2012-08-23,442,437,-0.007026516497343094,-0.026248554105070543,0.013796009187903871,11042.533131796052,811457.5648554553
2012-08-22,2012-08-23,2012-09-20,447,447,-0.024314949829435162,-0.02697351817525162,-5.675492258493467e-05,-46.05421127437148,811411.5106441809
2012-09-19,2012-09-20,2012-10-25,455,452,0.004546119530182358,0.03154472562707111,-0.025073290200206082,-20344.756278169225,791066.7543660117
2012-10-24,2012-10-25,2012-11-22,458,453,-0.05185339987770521,-0.05442769634937772,-0.0006081568003282745,-481.0926261813147,790585.6617398304
2012-11-21,2012-11-22,2012-12-20,463,456,0.0073619181134998435,0.08258832375136405,-0.06516261932612967,-51516.632520648884,739069.0292191815
2012-12-19,2012-12-20,2013-01-22,463,455,0.11737301089462626,0.10547913878678017,0.00938243350814745,6934.2660245799925,746003.2952437615
