signal_date,entry,exit,n_sel,n_fill,capital_ret,net_yuan,equity
2021-05-17,2021-05-18,2021-06-16,790,788,0.0032580158305663964,2665.155435441411,820695.3842750898
2021-06-15,2021-06-16,2021-07-14,800,799,0.005609691797728855,4603.848165601958,825299.2324406918
2021-07-13,2021-07-14,2021-08-11,811,808,-0.00836334486342638,-6902.262096422608,818396.9703442692
2021-08-10,2021-08-11,2021-09-08,823,821,0.0796803603590226,65210.165513763786,883607.135858033
2021-09-07,2021-09-08,2021-10-15,830,827,-0.023910423647962475,-21127.42095672828,862479.7149013047
2021-10-14,2021-10-15,2021-11-12,839,833,-0.015323630049536074,-13216.320076376898,849263.3948249278
2021-11-11,2021-11-12,2021-12-10,847,844,0.038354376833059645,32572.96827563888,881836.3631005667
2021-12-09,2021-12-10,2022-01-10,854,852,0.07219791190174507,63666.744054890005,945503.1071554567
2022-01-07,2022-01-10,2022-02-14,862,857,-0.02893002788326171,-27353.43125371798,918149.6759017387
2022-02-11,2022-02-14,2022-03-14,870,864,-0.041217809960317986,-37844.11885644542,880305.5570452933
2022-03-11,2022-03-14,2022-04-13,876,869,-0.019789486224068065,-17420.794694118435,862884.7623511748
2022-04-12,2022-04-13,2022-05-16,885,880,-0.058149431022614606,-50176.2579688048,812708.50438237
2022-05-13,2022-05-16,2022-06-14,884,879,0.03241802508293046,26346.4046801785,839054.9090625485
2022-06-13,2022-06-14,2022-07-12,897,894,0.0267824771364924,22471.968918229453,861526.877980778
2022-07-11,2022-07-12,2022-08-09,900,895,0.011007949694361141,9483.644533152343,871010.5225139303
2022-08-08,2022-08-09,2022-09-06,906,905,0.013323792528386225,11605.16349201696,882615.6860059473
2022-09-05,2022-09-06,2022-10-12,911,907,-0.09542194352092348,-84220.90414074063,798394.7818652067
2022-10-11,2022-10-12,2022-11-09,916,913,0.07432318178550612,59339.2405091672,857734.0223743739
2022-11-08,2022-11-09,2022-12-07,922,920,0.06059951654189799,51978.26707742456,909712.2894517984
2022-12-06,2022-12-07,2023-01-05,930,930,-0.035265182253074956,-32081.16968537972,877631.1197664187
2023-01-04,2023-01-05,2023-02-09,939,933,0.054433540721058105,47772.56929587317,925403.6890622919
2023-02-08,2023-02-09,2023-03-09,943,941,0.025051712621756872,23182.947277502157,948586.636339794
2023-03-08,2023-03-09,2023-04-07,949,946,-0.02578858030468667,-24462.702647201368,924123.9336925927
2023-04-06,2023-04-07,2023-05-10,954,946,-0.000337908042244095,-312.2689092250075,923811.6647833677
2023-05-09,2023-05-10,2023-06-07,945,945,-0.030685358809377394,-28347.492406165926,895464.1723772017
2023-06-06,2023-06-07,2023-07-07,952,950,0.008320288183016,7450.519971744157,902914.6923489459
2023-07-06,2023-07-07,2023-08-04,959,957,0.05509643865362035,49747.38395645609,952662.076305402
2023-08-03,2023-08-04,2023-09-01,963,961,-0.046654585702955775,-44446.05448494619,908216.0218204558
2023-08-31,2023-09-01,2023-10-09,969,969,0.0059052651217508245,5363.256396671641,913579.2782171274
2023-09-28,2023-10-09,2023-11-06,975,973,-0.01109692888007352,-10137.92427668441,903441.353940443
2023-11-03,2023-11-06,2023-12-04,982,981,0.01237495020464463,11180.041767829796,914621.3957082728
2023-12-01,2023-12-04,2024-01-02,986,985,-0.021914764905078044,-20043.712864101166,894577.6828441716
2023-12-29,2024-01-02,2024-01-30,989,988,-0.05534868008856131,-49513.693982108496,845063.9888620632
2024-01-29,2024-01-30,2024-03-06,991,987,-0.013658367430365415,-11542.194462048239,833521.7944000149
