,net,gross,turnover,equity
2013-10-31,0.04103308418078272,0.041711603876749756,0.678519695967035,0.9946513010567714
2013-11-29,0.028216736409945306,0.028880850159298824,0.6641137493535186,1.0227171146384995
2013-12-31,0.0036620594985353637,0.004541057561067501,0.8789980625321374,1.026462365562476
2014-01-31,-0.005129203520909061,-0.004647968341855003,0.4812351790540579,1.0211974311829524
2014-02-28,0.01154032633762096,0.012324491726581956,0.784165388960996,1.032982382793944
2014-03-31,0.0028948717785071496,0.0034160079161125794,0.5211361376054297,1.0359727343415892
2014-04-30,0.02640159071109411,0.027515431348796075,1.113840637701966,1.063324062461529
2014-05-30,-0.0011403845010863254,-0.0004818072908023491,0.6585772102839763,1.0621114641810656
2014-06-30,-0.024241893604305134,-0.022072288041964545,2.1696055623405894,1.0363638710704755
2014-07-31,0.0029179491895550804,0.0037445208045665057,0.8265716150114255,1.0393879281881497
2014-08-31,0.061518729629810566,0.06379214477967092,2.273415149860353,1.1033297531228454
2014-09-30,0.0009602940952114232,0.002375570114286337,1.4152760190749138,1.1043892741698402
2014-10-31,0.04934966591300576,0.050553833878960536,1.2041679659547764,1.1588905158880287
2014-11-30,0.0040520034012728485,0.005726768069831084,1.6747646685582356,1.1635863442001098
2014-12-31,0.0207968944727879,0.021920273333947565,1.1233788611596656,1.1877853266104164
2015-01-30,-0.025167191624680965,-0.024670227323245704,0.49696430143526,1.1578921056866278
2015-02-27,0.06439332666630129,0.06669642557797555,2.30309891167425,1.2324526302924383
2015-03-31,-0.05090353114295521,-0.050159474509092396,0.7440566338628186,1.1697164394441302
2015-04-30,0.011964950889249497,0.012490700337278565,0.5257494480290673,1.1837120391964269
2015-05-31,-0.0642654467772184,-0.06375044875566371,0.5149980215546847,1.1076402561418963
2015-06-30,0.08194583457456424,0.08268054957736966,0.7347150028054219,1.1984067613398282
2015-07-31,-0.039060949083855004,-0.03757201551236092,1.4889335714940852,1.1515958558533854
2015-08-31,0.031135538143561632,0.0328617269874132,1.726188843851569,1.1874514125492759
2015-09-30,0.014404485600856236,0.014822313830690737,0.41782822983450013,1.2045560393230583
2015-10-30,0.08276278865270238,0.08342298143182428,0.6601927791218924,1.304248456225889
2015-11-30,-0.000562904721712971,0.00017359333877165677,0.7364980604846277,1.3035142886115925
2015-12-31,0.029738492502481822,0.030738861442024368,1.0003689395425466,1.3422788385103461
2016-01-31,-0.011033856231645305,-0.009911316634963717,1.1225395966815885,1.327468326783443
2016-02-29,-0.03544041534298521,-0.034535628238535704,0.9047871044495053,1.28042229792758
2016-03-31,-0.05519702609941115,-0.05467471696660512,0.5223091328060276,1.2097467949306036
2016-04-29,-0.03004041952394541,-0.028842198821802723,1.1982207021426863,1.1734054936931397
2016-05-31,0.05456800556067156,0.05648227260679364,1.914267046122084,1.2374358911979098
2016-06-30,0.0581814057705366,0.05945513762804913,1.2737318575125367,1.309431650898721
2016-07-31,-0.026615466340505576,-0.025477851110698443,1.137615229807134,1.2745805168690334
2016-08-31,-0.010677057578605242,-0.009687924160690663,0.9891334179145791,1.2609717473018542
2016-09-30,-0.023420334493810275,-0.02257672248812762,0.8436120056826558,1.2314393671928003
2016-10-31,-0.04351665503545805,-0.04250002659189019,1.0166284435678543,1.1778512450535885
2016-11-30,-0.06287755712928439,-0.06214999316153473,0.727563967749658,1.1037908361029327
2016-12-30,0.011429269655425851,0.013416203038917104,1.9869333834912517,1.116406359211941
2017-01-31,0.020658427368790075,0.022694333070097637,2.0359057013075605,1.1394695588977761
2017-02-28,-0.013723274169336257,-0.012764792187872714,0.9584819814635428,1.1238323057334092
2017-03-31,-0.020601764573824975,-0.01942342848707157,1.1783360867534036,1.1006793771502306
2017-04-30,0.004525159945245551,0.006448831577946087,1.9236716327005356,1.1056601273802686
2017-05-31,-0.016883774964409397,-0.01590269073257143,0.9810842318379656,1.08699241060246
2017-06-30,0.011051569108714248,0.012851282558835369,1.799713450121121,1.099005382348881
2017-07-31,-0.014901079678909213,-0.0133703034137058,1.5307762652034127,1.0826290155789502
2017-08-31,0.01197590262560648,0.013749983586872799,1.7740809612663186,1.09559447524918
2017-09-29,0.04745173405575984,0.049523227296573255,2.071493240813418,1.147582332921664
2017-10-31,0.0056416979598656524,0.006455170553934629,0.8134725940689763,1.1540566458280859
2017-11-30,0.01487200329195038,0.016863559781296052,1.9915564893456716,1.1712197800639386
2017-12-29,0.03779862758201189,0.03892228823700673,1.123660654994842,1.2154902803472614
2018-01-31,-0.05205885027873901,-0.0497715793928771,2.287270885861903,1.1522132538274008
2018-02-28,-0.004266203696613386,-0.0021617584711398526,2.104445225473534,1.1472976773846355
2018-03-29,0.012011781576870642,0.01241238717329957,0.4006055964289274,1.1610787664890307
