signal_date,entry,exit,n_sel,n_fill,capital_ret,net_yuan
2019-03-18,2019-03-19,2019-04-17,693,684,0.05327263957805917,54131.446433320176
2019-04-16,2019-04-17,2019-05-20,695,686,-0.15012346302690172,-160669.99971828586
2019-05-17,2019-05-20,2019-06-18,689,678,-0.03240761726470032,-29477.398972007213
2019-06-17,2019-06-18,2019-07-16,690,680,0.02210517962857783,19454.87960499234
2019-07-15,2019-07-16,2019-08-13,692,688,-0.07893747614168056,-71008.98827691656
2019-08-12,2019-08-13,2019-09-10,694,691,0.10413427869900227,86280.55173268111
2019-09-09,2019-09-10,2019-10-16,696,692,-0.029500433864722786,-26987.925134619698
2019-10-15,2019-10-16,2019-11-13,704,702,-0.0584209169108989,-51868.63368031406
2019-11-12,2019-11-13,2019-12-11,707,699,0.04759692715719277,39789.836721417145
2019-12-10,2019-12-11,2020-01-09,706,697,0.08448865716152154,73992.18712908635
2020-01-08,2020-01-09,2020-02-14,713,698,-0.04042914329997094,-38397.85903005733
2020-02-13,2020-02-14,2020-03-13,720,705,-0.005443970296508782,-4961.411712749628
2020-03-12,2020-03-13,2020-04-13,722,709,0.041507512357922716,37622.31204994244
2020-04-10,2020-04-13,2020-05-14,726,718,0.030338350724575136,28640.008985732216
2020-05-13,2020-05-14,2020-06-11,718,715,-0.023458627180873104,-22817.267855476588
2020-06-10,2020-06-11,2020-07-13,720,707,0.12720408263191496,120823.87090206554
2020-07-10,2020-07-13,2020-08-10,722,703,-0.023782053599705533,-25462.650076478953
2020-08-07,2020-08-10,2020-09-07,726,722,0.026094634223993607,27274.21433246066
2020-09-04,2020-09-07,2020-10-13,731,728,-0.024076517102603168,-25821.538466886734
2020-10-12,2020-10-13,2020-11-10,739,733,-0.01904092221093734,-19929.307079251972
2020-11-09,2020-11-10,2020-12-08,753,747,-0.020074482079249556,-20611.018828714266
2020-12-07,2020-12-08,2021-01-06,763,759,-0.029968997909830986,-30152.29679403419
2021-01-05,2021-01-06,2021-02-03,770,766,-0.07249400286126939,-70751.5360369588
2021-02-02,2021-02-03,2021-03-10,776,769,0.01720504465050543,15574.220630102674
2021-03-09,2021-03-10,2021-04-08,783,775,0.047902156769728865,44107.667474893155
2021-04-07,2021-04-08,2021-05-11,792,781,-0.04572020952480271,-44115.17133312451
2021-05-10,2021-05-11,2021-06-08,791,786,0.06909770683208771,63623.72896148963
2021-06-07,2021-06-08,2021-07-07,806,803,-0.0004495521655875079,-442.5404538399307
2021-07-06,2021-07-07,2021-08-04,819,814,0.024658463998771696,24262.95101072255
2021-08-03,2021-08-04,2021-09-01,828,825,0.12388885006730521,124907.62609690847
2021-08-31,2021-09-01,2021-10-08,838,832,-0.019004473463862914,-21534.556746303337
2021-09-30,2021-10-08,2021-11-05,845,842,-0.027262002112161343,-30304.342755897203
2021-11-04,2021-11-05,2021-12-03,853,852,0.04323105648514591,46745.39697485836
2021-12-02,2021-12-03,2021-12-31,861,855,0.025785876776359906,29087.434179963544
2021-12-30,2021-12-31,2022-02-07,869,857,-0.06995513097974615,-80946.82146309759
2022-01-28,2022-02-07,2022-03-07,870,861,0.019616445650525227,21110.788093507057
2022-03-04,2022-03-07,2022-04-06,883,879,-0.0731926146024765,-80313.43853193661
2022-04-01,2022-04-06,2022-05-09,886,866,-0.11899401566382373,-121013.98580862745
2022-05-06,2022-05-09,2022-06-07,885,878,0.15398873859342643,137967.9668755429
2022-06-06,2022-06-07,2022-07-05,896,884,0.009666518794228418,9994.497723419569
2022-07-04,2022-07-05,2022-08-02,904,901,0.04468352594374947,46646.19939502294
2022-08-01,2022-08-02,2022-08-30,908,903,0.009039439209846956,9858.141859843628
2022-08-29,2022-08-30,2022-09-28,914,911,-0.08447303925555494,-92956.51561311749
2022-09-27,2022-09-28,2022-11-02,919,910,0.031846075648647165,32084.01988072868
2022-11-01,2022-11-02,2022-11-30,919,909,0.07878656340621348,81903.02241269557
2022-11-29,2022-11-30,2022-12-28,921,917,-0.04301067952618054,-48234.70244325069
2022-12-27,2022-12-28,2023-02-02,920,913,0.1130409702284696,121318.28641295177
2023-02-01,2023-02-02,2023-03-02,919,917,0.007323772671944839,8748.556423560949
2023-03-01,2023-03-02,2023-03-30,920,920,-0.004508741928359594,-5425.328041850124
2023-03-29,2023-03-30,2023-04-28,921,914,-0.030871065170642975,-36979.38551456318
2023-04-27,2023-04-28,2023-05-31,955,948,-0.00040156211071440406,-466.16789922327735
2023-05-30,2023-05-31,2023-06-30,954,951,-0.016419230553975095,-19053.203492562287
2023-06-29,2023-06-30,2023-07-28,964,959,0.02472473893956395,28219.996037453413
2023-07-27,2023-07-28,2023-08-25,965,963,-0.05293461063881111,-61911.62138499529
2023-08-24,2023-08-25,2023-09-22,972,970,-0.03002301204539015,-33255.744956959505
2023-09-21,2023-09-22,2023-10-30,980,980,-0.02088910212359485,-22443.65708332765
2023-10-27,2023-10-30,2023-11-27,985,981,0.03023714685329071,31808.74576746882
2023-11-24,2023-11-27,2023-12-25,988,986,-0.05546732413599054,-60114.626889997744
2023-12-22,2023-12-25,2024-01-23,989,985,-0.147658903867107,-151153.97334166605
2024-01-22,2024-01-23,2024-02-28,992,984,0.017270266155628766,15068.582042846014
2024-02-27,2024-02-28,2024-03-27,994,988,0.015260310257673382,13544.81477453222
