date,equity,cash,invested
2017-09-08,1049488.6791349906,19456.996964134123,1030031.6821708564
2017-09-11,1055003.00125383,19456.996964134123,1035546.004289696
2017-09-12,1053282.9683065345,19456.996964134123,1033825.9713424003
2017-09-13,1055288.293484297,19456.996964134123,1035831.296520163
2017-09-14,1056053.5562608764,19456.996964134123,1036596.5592967423
2017-09-15,1055584.8613294575,19456.996964134123,1036127.8643653234
2017-09-18,1059690.8782010365,19456.996964134123,1040233.8812369024
2017-09-19,1058507.6317379118,19456.996964134123,1039050.6347737777
2017-09-20,1061713.7404666175,19456.996964134123,1042256.7435024835
2017-09-21,1055114.2689952308,19456.996964134123,1035657.2720310967
2017-09-22,1050952.0762372592,19456.996964134123,1031495.0792731252
2017-09-25,1040963.4634506734,19456.996964134123,1021506.4664865392
2017-09-26,1041125.3934410405,19456.996964134123,1021668.3964769064
2017-09-27,1038274.2590983096,1038274.2590983096,0.0
2017-09-27,1039730.2182522275,24266.844119154994,1015463.3741330726
2017-09-28,1036928.2527230316,24266.844119154994,1012661.4086038766
2017-09-29,1042533.9068411409,24266.844119154994,1018267.062721986
2017-10-09,1051576.7274598228,24266.844119154994,1027309.8833406678
2017-10-10,1061150.0040390894,24266.844119154994,1036883.1599199343
2017-10-11,1063667.8258982769,24266.844119154994,1039400.9817791219
2017-10-12,1061868.9617564334,24266.844119154994,1037602.1176372784
2017-10-13,1066274.3759527672,24266.844119154994,1042007.5318336122
2017-10-16,1052375.2387967543,24266.844119154994,1028108.3946775992
2017-10-17,1053567.511807403,24266.844119154994,1029300.667688248
2017-10-18,1051386.8035141472,24266.844119154994,1027119.9593949922
2017-10-19,1044384.9921152868,24266.844119154994,1020118.1479961318
2017-10-20,1052968.6843532596,24266.844119154994,1028701.8402341047
2017-10-23,1058387.9117426167,24266.844119154994,1034121.0676234616
2017-10-24,1055289.7646763045,24266.844119154994,1031022.9205571495
2017-10-25,1060407.9570859703,24266.844119154994,1036141.1129668154
2017-10-26,1061967.420128144,24266.844119154994,1037700.576008989
2017-10-27,1058706.3723844192,24266.844119154994,1034439.5282652642
2017-10-30,1042917.0991952418,24266.844119154994,1018650.2550760868
2017-10-31,1048033.4121959219,24266.844119154994,1023766.5680767669
2017-11-01,1044824.0297787662,1044824.0297787662,0.0
2017-11-01,1042498.7964080668,34425.83294165087,1008072.9634664159
2017-11-02,1033897.376306939,34425.83294165087,999471.5433652882
2017-11-03,1026958.7189583832,34425.83294165087,992532.8860167323
2017-11-06,1031189.5370635343,34425.83294165087,996763.7041218834
2017-11-07,1035875.8259105828,34425.83294165087,1001449.9929689319
2017-11-08,1038879.8816077058,34425.83294165087,1004454.048666055
2017-11-09,1042852.2862617229,34425.83294165087,1008426.453320072
2017-11-10,1043118.5765097392,34425.83294165087,1008692.7435680883
2017-11-13,1041589.0761617632,34425.83294165087,1007163.2432201123
2017-11-14,1034613.9710859619,34425.83294165087,1000188.138144311
2017-11-15,1030120.4108724672,34425.83294165087,995694.5779308163
2017-11-16,1028195.269316224,34425.83294165087,993769.4363745732
2017-11-17,1005934.8197666671,34425.83294165087,971508.9868250162
2017-11-20,1005284.5878060715,34425.83294165087,970858.7548644206
2017-11-21,1006897.2488061188,34425.83294165087,972471.415864468
2017-11-22,1006886.9609974561,34425.83294165087,972461.1280558052
2017-11-23,989200.9915914258,34425.83294165087,954775.158649775
2017-11-24,991908.0008065257,34425.83294165087,957482.1678648748
2017-11-27,985121.8453476354,34425.83294165087,950696.0124059846
2017-11-28,992197.2717568658,34425.83294165087,957771.4388152149
2017-11-29,989946.9048777006,989946.9048777006,0.0
2017-11-29,989259.3210707528,30783.94630552711,958475.3747652257
2017-11-30,986456.2205939861,30783.94630552711,955672.274288459
2017-12-01,992054.8078480279,30783.94630552711,961270.8615425008
2017-12-04,984603.5261702146,30783.94630552711,953819.5798646875
2017-12-05,968344.1682101852,30783.94630552711,937560.2219046581
2017-12-06,971514.6612103335,30783.94630552711,940730.7149048063
2017-12-07,971527.6919657026,30783.94630552711,940743.7456601755
2017-12-08,977317.1211779588,30783.94630552711,946533.1748724317
2017-12-11,981796.1235870003,30783.94630552711,951012.1772814732
2017-12-12,974011.4407603011,30783.94630552711,943227.494454774
2017-12-13,978137.505593771,30783.94630552711,947353.5592882439
2017-12-14,978758.5728764727,30783.94630552711,947974.6265709456
2017-12-15,977884.8983425931,30783.94630552711,947100.952037066
2017-12-18,974985.5837356383,30783.94630552711,944201.6374301112
2017-12-19,978654.6313831286,30783.94630552711,947870.6850776015
2017-12-20,971337.1218856187,30783.94630552711,940553.1755800915
2017-12-21,971044.2344653041,30783.94630552711,940260.288159777
2017-12-22,971320.8029915217,30783.94630552711,940536.8566859945
2017-12-25,963037.9467507235,30783.94630552711,932254.0004451964
2017-12-26,969102.788571251,30783.94630552711,938318.8422657239
2017-12-27,965686.4104862866,965686.4104862866,0.0
2017-12-27,961965.3754030016,15702.218056676085,946263.1573463255
2017-12-28,965040.870262524,15702.218056676085,949338.6522058479
2017-12-29,970987.9216152874,15702.218056676085,955285.7035586113
2018-01-02,980384.6985707118,15702.218056676085,964682.4805140357
2018-01-03,987061.8596557382,15702.218056676085,971359.6415990621
2018-01-04,988636.0270062238,15702.218056676085,972933.8089495477
2018-01-05,994532.5899031572,15702.218056676085,978830.3718464811
2018-01-08,997968.4020222763,15702.218056676085,982266.1839656002
2018-01-09,996678.9979284261,15702.218056676085,980976.77987175
2018-01-10,990941.5734250214,15702.218056676085,975239.3553683453
2018-01-11,993744.6271246434,15702.218056676085,978042.4090679673
2018-01-12,994062.1734221313,15702.218056676085,978359.9553654552
2018-01-15,977300.5019005206,15702.218056676085,961598.2838438445
2018-01-16,986094.1106146477,15702.218056676085,970391.8925579716
2018-01-17,986074.9441439374,15702.218056676085,970372.7260872613
2018-01-18,988319.0044008672,15702.218056676085,972616.7863441911
2018-01-19,988794.7075658235,15702.218056676085,973092.4895091474
2018-01-22,993198.6019961468,15702.218056676085,977496.3839394707
2018-01-23,996602.0613342016,15702.218056676085,980899.8432775255
2018-01-24,1000775.6104629891,15702.218056676085,985073.392406313
2018-01-25,998099.8881356462,998099.8881356462,0.0
2018-01-25,997911.2333077346,56073.02742336638,941838.2058843683
2018-01-26,997457.4193978887,56073.02742336638,941384.3919745224
2018-01-29,989187.5873954468,56073.02742336638,933114.5599720804
2018-01-30,988565.7229266779,56073.02742336638,932492.6955033115
2018-01-31,971032.1865077664,56073.02742336638,914959.1590844
2018-02-01,935923.9090433852,56073.02742336638,879850.8816200189
2018-02-02,929797.8094606332,56073.02742336638,873724.7820372668
2018-02-05,928665.3280495179,56073.02742336638,872592.3006261515
2018-02-06,892753.9057649923,56073.02742336638,836680.878341626
2018-02-07,895868.048535412,56073.02742336638,839795.0211120456
2018-02-08,901341.8512231342,56073.02742336638,845268.8237997678
2018-02-09,874483.6566496773,56073.02742336638,818410.6292263109
2018-02-12,888287.3323343403,56073.02742336638,832214.3049109739
2018-02-13,889956.3463391326,56073.02742336638,833883.3189157662
2018-02-14,891726.5648918585,56073.02742336638,835653.5374684922
2018-02-22,901919.8155943507,56073.02742336638,845846.7881709844
2018-02-23,904266.6809437515,56073.02742336638,848193.653520385
2018-02-26,917523.0318440779,56073.02742336638,861450.0044207114
2018-02-27,916658.732920612,56073.02742336638,860585.7054972457
2018-02-28,916978.7345593129,56073.02742336638,860905.7071359465
2018-03-01,911066.0305626193,911066.0305626193,0.0
2018-03-01,921896.896402171,26578.911750618874,895317.9846515522
2018-03-02,920203.59812561,26578.911750618874,893624.6863749912
2018-03-05,922531.0898340826,26578.911750618874,895952.1780834638
2018-03-06,930675.843657414,26578.911750618874,904096.9319067951
2018-03-07,927448.2926951827,26578.911750618874,900869.3809445639
2018-03-08,934121.197885318,26578.911750618874,907542.2861346991
2018-03-09,942926.9321100914,26578.911750618874,916348.0203594726
2018-03-12,952197.9791656154,26578.911750618874,925619.0674149966
2018-03-13,948067.6343738743,26578.911750618874,921488.7226232555
2018-03-14,940501.3368009459,26578.911750618874,913922.4250503271
2018-03-15,936282.1116936335,26578.911750618874,909703.1999430147
2018-03-16,937412.0862607756,26578.911750618874,910833.1745101567
2018-03-19,938894.8878269729,26578.911750618874,912315.976076354
2018-03-20,941098.2476228324,26578.911750618874,914519.3358722136
2018-03-21,937775.5971904849,26578.911750618874,911196.685439866
2018-03-22,938045.3551475166,26578.911750618874,911466.4433968978
2018-03-23,897482.0266496844,26578.911750618874,870903.1148990656
2018-03-26,903046.167496003,26578.911750618874,876467.2557453841
2018-03-27,920374.6207247421,26578.911750618874,893795.7089741232
2018-03-28,913664.839827008,26578.911750618874,887085.9280763891
2018-03-29,912943.8891342235,912943.8891342235,0.0
2018-03-29,917327.6888171602,11685.681780904419,905642.0070362558
2018-03-30,923019.0896010302,11685.681780904419,911333.4078201258
2018-04-02,924793.9147035603,11685.681780904419,913108.2329226559
2018-04-03,918269.2037454044,11685.681780904419,906583.5219645
2018-04-04,917700.2940795729,11685.681780904419,906014.6122986685
2018-04-09,917610.0596478368,11685.681780904419,905924.3778669324
2018-04-10,921606.0286044019,11685.681780904419,909920.3468234974
2018-04-11,926048.3530783129,11685.681780904419,914362.6712974085
2018-04-12,921419.462363446,11685.681780904419,909733.7805825416
2018-04-13,918674.3989418123,11685.681780904419,906988.7171609079
2018-04-16,910444.6369836159,11685.681780904419,898758.9552027115
2018-04-17,898983.525161657,11685.681780904419,887297.8433807526
2018-04-18,902880.9731272461,11685.681780904419,891195.2913463417
2018-04-19,904897.471863914,11685.681780904419,893211.7900830096
2018-04-20,888985.5860764306,11685.681780904419,877299.9042955262
2018-04-23,885265.2090938215,11685.681780904419,873579.527312917
2018-04-24,898683.2932387315,11685.681780904419,886997.611457827
2018-04-25,899437.2410575323,11685.681780904419,887751.5592766278
2018-04-26,886067.2213887391,11685.681780904419,874381.5396078347
2018-04-27,890392.8490671786,11685.681780904419,878707.1672862741
2018-05-02,888885.8060166471,888885.8060166471,0.0
2018-05-02,887108.3800005657,19721.713604169207,867386.6663963965
2018-05-03,892560.3279410771,19721.713604169207,872838.6143369079
2018-05-04,891663.8660272014,19721.713604169207,871942.1524230322
2018-05-07,902081.4437013383,19721.713604169207,882359.730097169
2018-05-08,906412.9423216353,19721.713604169207,886691.2287174661
2018-05-09,905691.2077453912,19721.713604169207,885969.494141222
2018-05-10,909937.6522235745,19721.713604169207,890215.9386194053
2018-05-11,903855.7601216283,19721.713604169207,884134.0465174591
2018-05-14,900661.8563134761,19721.713604169207,880940.1427093069
2018-05-15,905880.6099945308,19721.713604169207,886158.8963903616
2018-05-16,903929.2587140893,19721.713604169207,884207.5451099201
2018-05-17,900533.6921314701,19721.713604169207,880811.9785273009
2018-05-18,904410.0971665598,19721.713604169207,884688.3835623906
2018-05-21,911563.1007125686,19721.713604169207,891841.3871083994
2018-05-22,912374.210856061,19721.713604169207,892652.4972518918
2018-05-23,904052.5225644552,19721.713604169207,884330.808960286
2018-05-24,901971.7129648674,19721.713604169207,882249.9993606982
2018-05-25,896505.932456256,19721.713604169207,876784.2188520868
2018-05-28,891654.9107513822,19721.713604169207,871933.197147213
2018-05-29,887166.5894766221,19721.713604169207,867444.8758724529
2018-05-30,876602.6763148722,876602.6763148722,0.0
2018-05-30,858816.7252329132,41026.64631739998,817790.0789155132
2018-05-31,869437.7962557033,41026.64631739998,828411.1499383033
2018-06-01,864711.9960956911,41026.64631739998,823685.3497782912
2018-06-04,863456.2351698619,41026.64631739998,822429.5888524619
2018-06-05,868733.0183016707,41026.64631739998,827706.3719842708
2018-06-06,868043.4464416858,41026.64631739998,827016.8001242857
2018-06-07,863195.4937392883,41026.64631739998,822168.8474218884
2018-06-08,849842.6583513694,41026.64631739998,808816.0120339694
2018-06-11,845897.8646937634,41026.64631739998,804871.2183763634
2018-06-12,850013.4552885736,41026.64631739998,808986.8089711736
2018-06-13,839915.9295440309,41026.64631739998,798889.283226631
2018-06-14,834267.2539345168,41026.64631739998,793240.6076171169
2018-06-15,821765.7305659079,41026.64631739998,780739.0842485079
2018-06-19,772050.6566084821,41026.64631739998,731024.0102910821
2018-06-20,774389.3065450194,41026.64631739998,733362.6602276193
2018-06-21,760693.7066088319,41026.64631739998,719667.060291432
2018-06-22,765956.7166233086,41026.64631739998,724930.0703059086
2018-06-25,761167.1408602181,41026.64631739998,720140.4945428182
2018-06-26,761946.740882773,41026.64631739998,720920.094565373
2018-06-27,757965.6894000305,41026.64631739998,716939.0430826306
2018-06-28,754470.3345505435,754470.3345505435,0.0
2018-06-28,750003.1075131195,7040.1586427614675,742962.9488703579
2018-06-29,763717.9343758272,7040.1586427614675,756677.7757330657
2018-07-02,751231.5735584938,7040.1586427614675,744191.4149157322
2018-07-03,757509.4433145397,7040.1586427614675,750469.2846717783
2018-07-04,750021.6497310004,7040.1586427614675,742981.491088239
2018-07-05,734669.9468982324,7040.1586427614675,727629.7882554709
2018-07-06,734248.3769065915,7040.1586427614675,727208.2182638301
2018-07-09,744688.0591425223,7040.1586427614675,737647.9004997608
2018-07-10,746660.4209326187,7040.1586427614675,739620.2622898573
2018-07-11,731767.2956153278,7040.1586427614675,724727.1369725664
2018-07-12,746530.0176199018,7040.1586427614675,739489.8589771403
2018-07-13,747001.8616931692,7040.1586427614675,739961.7030504077
2018-07-16,744603.5582141445,7040.1586427614675,737563.399571383
2018-07-17,743651.3018488456,7040.1586427614675,736611.1432060841
2018-07-18,744090.3666179294,7040.1586427614675,737050.2079751679
2018-07-19,739267.1308056237,7040.1586427614675,732226.9721628622
2018-07-20,748951.410985792,7040.1586427614675,741911.2523430306
2018-07-23,757129.7284105271,7040.1586427614675,750089.5697677656
2018-07-24,770528.1112298677,7040.1586427614675,763487.9525871063
2018-07-25,770695.7080812338,7040.1586427614675,763655.5494384723
2018-07-26,768143.7062455295,768143.7062455295,0.0
2018-07-26,770818.6510087467,-5.973561201244593e-09,770818.6510087526
2018-07-27,768471.460027022,-5.973561201244593e-09,768471.460027028
2018-07-30,761842.9919026871,-5.973561201244593e-09,761842.9919026931
2018-07-31,764201.8532993715,-5.973561201244593e-09,764201.8532993775
2018-08-01,754048.4322828394,-5.973561201244593e-09,754048.4322828454
2018-08-02,737696.7099328467,-5.973561201244593e-09,737696.7099328527
2018-08-03,734537.9855517345,-5.973561201244593e-09,734537.9855517404
2018-08-06,724989.6996555312,-5.973561201244593e-09,724989.6996555371
2018-08-07,741156.9845807854,-5.973561201244593e-09,741156.9845807913
2018-08-08,734563.2193635724,-5.973561201244593e-09,734563.2193635784
2018-08-09,744744.6366917661,-5.973561201244593e-09,744744.636691772
2018-08-10,745670.4280214886,-5.973561201244593e-09,745670.4280214945
2018-08-13,743939.0872977077,-5.973561201244593e-09,743939.0872977136
2018-08-14,743194.1288225738,-5.973561201244593e-09,743194.1288225797
2018-08-15,731360.3433572658,-5.973561201244593e-09,731360.3433572717
2018-08-16,726455.3822980683,-5.973561201244593e-09,726455.3822980742
2018-08-17,717970.6825517787,-5.973561201244593e-09,717970.6825517847
2018-08-20,720072.5699369349,-5.973561201244593e-09,720072.5699369408
2018-08-21,725819.9387254263,-5.973561201244593e-09,725819.9387254323
2018-08-22,720608.6767919515,-5.973561201244593e-09,720608.6767919575
2018-08-23,718368.9423787234,718368.9423787234,0.0
2018-08-23,719962.4658210767,6481.524292134503,713480.9415289422
2018-08-24,720093.1656088374,6481.524292134503,713611.6413167029
2018-08-27,730190.0470450721,6481.524292134503,723708.5227529376
2018-08-28,730656.3447351131,6481.524292134503,724174.8204429786
2018-08-29,728252.5571695828,6481.524292134503,721771.0328774484
2018-08-30,721378.91439465,6481.524292134503,714897.3901025156
2018-08-31,717259.299613018,6481.524292134503,710777.7753208836
2018-09-03,715836.9278486829,6481.524292134503,709355.4035565484
2018-09-04,721277.2636161906,6481.524292134503,714795.7393240562
2018-09-05,712811.829893245,6481.524292134503,706330.3056011106
2018-09-06,709903.4088669273,6481.524292134503,703421.8845747928
2018-09-07,711628.4235040774,6481.524292134503,705146.8992119429
2018-09-10,703596.9286771228,6481.524292134503,697115.4043849884
2018-09-11,703513.5342265704,6481.524292134503,697032.009934436
2018-09-12,703963.5473720357,6481.524292134503,697482.0230799012
2018-09-13,708897.6505842707,6481.524292134503,702416.1262921363
2018-09-14,706698.4668754068,6481.524292134503,700216.9425832724
2018-09-17,698670.0516531016,6481.524292134503,692188.5273609671
2018-09-18,706987.1387653332,6481.524292134503,700505.6144731988
2018-09-19,712603.271846489,6481.524292134503,706121.7475543546
2018-09-20,710557.6123417577,710557.6123417577,0.0
2018-09-20,708813.8081961257,11665.871247399707,697147.936948726
2018-09-21,717338.3531148299,11665.871247399707,705672.4818674301
2018-09-25,715113.7879103392,11665.871247399707,703447.9166629395
2018-09-26,716368.6767755222,11665.871247399707,704702.8055281225
2018-09-27,708918.6466466098,11665.871247399707,697252.77539921
2018-09-28,714254.1315800097,11665.871247399707,702588.26033261
2018-10-08,697990.6510783401,11665.871247399707,686324.7798309404
2018-10-09,698361.6566519459,11665.871247399707,686695.7854045462
2018-10-10,699284.4794628415,11665.871247399707,687618.6082154418
2018-10-11,651897.8435122727,11665.871247399707,640231.972264873
2018-10-12,646772.7301302528,11665.871247399707,635106.8588828531
2018-10-15,638117.7355369707,11665.871247399707,626451.864289571
2018-10-16,627422.1331964819,11665.871247399707,615756.2619490821
2018-10-17,631793.7810074142,11665.871247399707,620127.9097600145
2018-10-18,615538.7368754669,11665.871247399707,603872.8656280672
2018-10-19,624751.4630482931,11665.871247399707,613085.5918008934
2018-10-22,651568.9410329923,11665.871247399707,639903.0697855926
2018-10-23,642253.3407528892,11665.871247399707,630587.4695054895
