signal_date,entry,exit,symbol,gross,net,hold_days
2023-03-08,2023-03-09,2023-04-07,sz.300296,0.07328244352610214,0.06976244352610214,20
2017-02-07,2017-02-08,2017-03-08,sh.600624,0.057387092931549644,0.05386709293154964,20
2021-03-16,2021-03-17,2021-04-15,sh.600527,0.04166662527455389,0.03814662527455389,20
2016-11-07,2016-11-08,2016-12-06,sh.600515,-0.049535629995625774,-0.053055629995625776,20
2019-07-22,2019-07-23,2019-08-20,sh.603385,0.026255654820420693,0.022735654820420694,20
2021-06-15,2021-06-16,2021-07-14,sz.002608,-0.02635652782696063,-0.02987652782696063,20
2018-04-27,2018-05-02,2018-05-30,sh.600071,-0.06785710960829183,-0.07137710960829183,20
2022-01-07,2022-01-10,2022-02-14,sz.000623,-0.055030560517713156,-0.05855056051771316,20
2021-02-09,2021-02-10,2021-03-17,sh.601881,-0.0057143256777808515,-0.00923432567778085,20
2014-04-23,2014-04-24,2014-05-26,sh.600674,-0.0025597854916358243,-0.006079785491635824,20
2014-04-23,2014-04-24,2014-05-26,sz.000417,-0.003539819573261993,-0.007059819573261993,20
2020-02-20,2020-02-21,2020-03-20,sz.000778,-0.043956066269097094,-0.047476066269097096,20
2014-03-25,2014-03-26,2014-04-24,sh.600019,0.02910056464205768,0.02558056464205768,20
2018-11-22,2018-11-23,2018-12-21,sh.600396,-0.12093027820452851,-0.1244502782045285,20
2020-04-17,2020-04-20,2020-05-21,sh.603585,-0.12041626701821873,-0.12393626701821872,20
2021-03-16,2021-03-17,2021-04-15,sz.002957,0.061246564446568064,0.05772656444656806,20
2022-01-07,2022-01-10,2022-02-14,sh.600186,-0.14098363064912312,-0.1445036306491231,20
2023-12-29,2024-01-02,2024-01-30,sh.603682,0.04886565599935633,0.045845655999356326,20
2020-05-20,2020-05-21,2020-06-18,sh.603898,0.07226275802198479,0.06874275802198479,20
2015-01-15,2015-01-16,2015-02-13,sh.600647,0.22012568640723562,0.21660568640723563,20
2010-01-04,2010-01-05,2010-02-02,sh.600859,-0.034157167441488445,-0.03767716744148845,20
2022-07-11,2022-07-12,2022-08-09,sz.300281,0.07922540487715435,0.07570540487715435,20
2020-12-14,2020-12-15,2021-01-13,sh.600874,-0.022658625069562732,-0.02617862506956273,20
