strategy_id,information_set,target,start,end,trades,gross_return,net_return,CAGR,max_dd,Sharpe,Sortino,Calmar,turnover,data_cost,live_external_dependency,status,family,dataset_id,timeframe,economic_status,replay_kind,validation_net_return,validation_trades,level1_dataset_status
HYP-CUROI-0003,IS-D,next-session front open-to-open after knowledge_time,,,350,0.2966892082928756,0.2966892082928756,0.023132230522366237,-0.41136849432711464,0.24282664975650997,0.10410137734209765,0.05623238250222391,181.23466765096703,0.0,YES,POSITIVE_BUT_WEAK,CURVE_OI_JOINT_V1,next-session front open-to-open after knowledge_time,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,-0.11152992411215146,102,WEAK_EDGE
HYP-ER-0001,IS-B,OIL,2018,2024,38,-0.007355269853745239,-0.007355269853745239,-0.0011107197386271972,-0.011162360487744346,-0.25363196423696127,-0.06496774762511744,-0.09950581150346345,4.066610610574791,0.0,NO,LOSS,ENERGY_RV_V1,OIL,D1,LOSS,STRATEGY_REPLAY,-0.0032565548988375825,9,NO_EDGE
HYP-ER-0002,IS-B,OIL,2018,2024,38,0.004185934385471102,0.004185934385471102,0.0006290232175665267,-0.013621586235446603,0.07415246044316004,0.02146250792544759,0.046178411727824976,4.0339614529553325,0.0,NO,POSITIVE_BUT_WEAK,ENERGY_RV_V1,OIL,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,-0.005331415529963857,9,WEAK_EDGE
HYP-ER-0003,IS-B,OIL,2018,2024,44,0.023905320810390984,0.023905320810390984,0.003562641613133799,-0.011087185295683916,0.45009400704166097,0.1915307249641911,0.3213296718799031,4.599334124136618,0.0,NO,POSITIVE_BUT_WEAK,ENERGY_RV_V1,OIL,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,-0.022640831984170884,16,WEAK_EDGE
HYP-FUTCFD-0001,IS-D,next-session broker CFD open-to-open after settlement knowledge_time,,,231,0.31819229244686187,0.31819229244686187,0.05272126184914927,-0.3228824162954518,0.36962362990120845,0.21956550822188625,0.16328316188301492,132.41738010441793,0.0,YES,POSITIVE_BUT_WEAK,FUT_CFD_LEAD_V1,next-session broker CFD open-to-open after settlement knowledge_time,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,-0.025155755422676118,49,WEAK_EDGE
HYP-FUTCFD-0002,IS-D,next-session broker CFD open-to-open after knowledge_time,,,234,-0.6027137163192635,-0.6027137163192635,-0.15774782687205047,-0.710745697472047,-0.45445361087897684,-0.19018988119917254,-0.22194693183950587,71.45058174894399,0.0,YES,LOSS,FUT_CFD_LEAD_V1,next-session broker CFD open-to-open after knowledge_time,D1,LOSS,STRATEGY_REPLAY,-0.01962937871675763,50,NO_EDGE
HYP-FUTCFD-0003,IS-D,next-session broker CFD open-to-open after knowledge_time,,,46,-0.019027582692927036,-0.019027582692927036,-0.0035664340093490843,-0.1287099773622314,-0.03963584602273232,-0.012732541830367039,-0.027709071840732197,23.23599105435261,0.0,YES,POSITIVE_BUT_WEAK,FUT_CFD_LEAD_V1,next-session broker CFD open-to-open after knowledge_time,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.12953689242507838,13,WEAK_EDGE
HYP-FUTDTE-0001,IS-C,next-session front open-to-open after settlement knowledge_time,,,51,0.17804624205084085,0.17804624205084085,0.014527159134033685,-0.17872343989735448,0.23618004146513383,0.049615777125120865,0.08128289799243463,28.724669422389958,0.0,YES,POSITIVE_BUT_WEAK,DTE_ROLL_WINDOW_V1,next-session front open-to-open after settlement knowledge_time,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,-0.05435502086738764,55,WEAK_EDGE
HYP-FUTDTE-0002,IS-C,next-session front open-to-open after knowledge_time,,,132,0.07403234483922794,0.07403234483922794,0.006306167488590475,-0.28449633310503875,0.1264559102895399,0.024138711204614385,0.0221660765176266,73.97404744494524,0.0,YES,POSITIVE_BUT_WEAK,DTE_ROLL_WINDOW_V1,next-session front open-to-open after knowledge_time,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.11804279589610722,48,WEAK_EDGE
HYP-FUTDTE-0003,IS-C,next-session front open-to-open after knowledge_time,,,130,0.2260275300713097,0.2260275300713097,0.018098389884661392,-0.16165784488188822,0.34308784744753856,0.08266606751293916,0.11195491253693618,78.71331982761095,0.0,YES,POSITIVE_BUT_WEAK,DTE_ROLL_WINDOW_V1,next-session front open-to-open after knowledge_time,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.09361725203330651,49,CANDIDATE
